gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
286,287,772.6,1808.801105,2401,1102.643502,442
345,489,781,1809.786953,2443,1157.71789,2454.8
462,1827,874.7,1814.542689,2447,1179.352313,1770.1
471,950,913.4,1838.740086,2516,210.1640044,1177.4
293,239,914.8,1864.13361,2909,377.7096319,279.5
333,276,941.7,1868.718605,3067,384.5977987,449.3
369,2383,952.7,1878.316848,3352,400.6234757,347.5
357,2724,970.5,1885.35787,3497,404.8921382,505.1
328,925,978.5,1888.943728,90,405.1728926,1032.1
304,1892,983,1890.966683,107,406.5617534,2527.3
345,1102,989.7,1892.986877,136,408.727859,311
289,2003,990.1,1909.817803,160,410.9029433,1774.3
458.9,1691,994.1,1920.98376,191,411.6192245,1873.4
461.8,427,1015.3,1927.673418,194,411.7745761,508.6
464.1,244,1075.8,1929.038035,199,413.2145336,2530
473.6,250,1096,1942.465157,205,414.8022091,1978.2
475.1,756,1106,1977.342836,210,415.7975847,883
477.5,1868,1182.2,1981.444028,216,416.3818022,2292.5
478.9,1866,1183.4,2012.131002,223,416.543638,2626.4
483.5,479,1195.1,2022.409203,233,417.0390846,290.7
483.7,461,1312.2,2024.257362,246,417.7531478,259.9
486.9,736,1330.3,2095.257861,247,418.6266593,445.4
487.1,234,1409.8,2111.547204,248,418.7346764,317.7
488.3,470,1423.6,2176.872838,251,418.9405616,305.1
488.9,422,1438.4,2258.413712,251,419.5467154,266
489.5,795,1557.8,2313.767096,253,422.7489145,304
490.1,2715,1721.5,2332.411663,254,423.1774677,2516.2
490.3,462,1828,2351.387746,258,425.0512857,2000.9
493.1,666,1828.1,2387.724997,264,425.8078729,343.6
493.3,308,1830.6,2471.738844,265,426.398153,1937.8
493.8,1878,1849.4,2480.90605,266,426.4955895,402.8
494.7,1847,1991.2,2488.156776,267,426.9390939,1337.2
495.2,1830,2080.8,2505.104891,274,428.4883353,470
495.8,575,2399.4,2534.11762,278,428.8264024,332.6
496.1,515,2403,2565.889354,284,429.1183798,272.6
496.1,244,2421.2,2606.90262,288,429.6776901,267.5
496.6,2473,2470.4,224.0076862,290,429.8647502,2398.8
496.7,478,2474.4,260.5144923,293,431.4398119,2592.9
498.4,433,2486.3,265.8366351,299,431.9217923,2155.5
499.3,443,2492.9,266.7026147,304,432.578565,293.3
500.2,2517,2659.1,268.8052239,307,432.8013233,1888.7
502.4,510,2848,269.7944498,309,433.7902228,2093.6
504.4,2761,236.7,270.5362696,313,433.8216498,1681.3
505.2,277,240.4,274.8000777,314,433.9140023,502.1
505.5,431,243.9,275.1089398,317,434.0751599,245.8
506,2247,249.3,275.6030883,320,434.1960713,1939.7
506.7,763,249.6,277.0235542,323,434.6050515,449.8
508.5,434,249.7,277.8262878,325,435.592066,728.5
509,2147,250.1,279.7400955,331,437.5314573,540
509.2,334,250.9,280.6042096,332,438.9046247,440.9
510.5,316,256.9,282.0235741,346,439.3377499,421.4
511,231,259.3,283.3809347,352,440.0691981,1750.1
511.3,232,261,285.4781119,369,440.078769,2528
512.4,890,270.1,287.2046869,371,440.8855567,291.3
513.1,280,271,296.1384879,375,440.902735,507.7
513.7,210,272.4,296.6310271,376,441.7566921,1491.4
514,2464,278.6,296.6925919,377,442.3300223,2555.1
514.3,1910,284.6,296.8028065,379,445.6028237,262.6
514.3,436,287.4,301.062187,383,445.8437756,2231
516,874,343,305.9466364,384,446.102185,2479.4
516.6,1846,353.8,306.4124445,390,447.4041315,507
517,2562,366.7,310.8983174,393,448.5758432,483.7
517.4,245,405.2,312.2496124,395,450.592802,1670.2
518,470,406,353.9388569,396,450.8500379,279.5
520,2027,408.9,366.4967709,397,451.8119672,1905.3
521.3,671,419.6,488.4350674,397,455.4666059,1731.7
521.7,1261,425.6,1696.166897,402,467.6259868,1805.9
522.2,737,425.8,1759.67613,402,468.3640503,645.5
522.9,455,426.1,1766.624955,406,470.7226069,429.5
527.8,832,427.9,1815.033794,410,472.0359768,402.4
528.5,2309,429.3,1826.934247,410,472.2119576,577.2
528.9,976,431.1,1831.311738,412,495.28015,485.6
529.3,230,433.7,1847.573276,412,562.4449689,248.2
530,2546,434.5,1866.03257,420,580.5981014,1849.9
534.1,1675,435.2,1866.190707,435,592.3784888,1891.3
534.7,232,435.6,1866.665016,441,603.3450727,1969
541.5,2606,436.1,1875.962383,441,606.5635986,297.2
543.4,1806,436.4,1893.452685,443,713.9369493,411
545,304,437,1915.487798,451,776.7254934,497.5
545.5,1649,440,1916.252348,456,783.4421683,1956
558,2445,440.3,1920.374105,457,789.2673629,2417.8
565.2,2536,440.8,1920.526543,475,818.2433544,872.4
575.2,242,440.8,1928.12843,475,870.0644584,620.4
725.1,420,442,1932.670865,478,871.0500797,1209.7
751.3,291,442.2,1937.651467,514,877.3664998,439.8
803.8,810,442.4,1941.413502,557,901.4826862,2452
825.3,451,443.4,1943.36598,579,902.8525956,312.2
837,1823,447.7,1963.194383,593,917.8160418,394.5
881,916,452.7,1968.220829,633,919.4582296,1096.3
907.3,444,459.1,1976.315753,678,927.9933658,285.3
920.9,270,467.5,1976.315753,780,938.2882913,1968.5
925.9,1904,473.7,1977.92942,786,943.7354137,2161.4
